AblakNev;GombNev;Tulajdonsag;Ertek;MelyikElem;EgyKettőHárom
Ablak_alap_program_egyéb;SAPRögzít;Enabled;true;15;1
Ablak_alap_program_egyéb;SAPTöröl;Enabled;true;15;1
Ablak_alap_program_egyéb;OsztályRögzít;Enabled;true;15;2
Ablak_alap_program_egyéb;Tak_Ár_rögzítés;Enabled;true;15;3
Ablak_alap_program_egyéb;Button4;Enabled;true;15;3
Ablak_alap_program_egyéb;Mátrix_rögzít;Enabled;true;15;3
Ablak_alap_program_egyéb;Adatok_beolvasása;Enabled;true;15;3
Ablak_alap_program_kiadás;Button2;Enabled;true;2;1
Ablak_alap_program_kiadás;Button3;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnMentésihely;Enabled;true;2;1
Ablak_alap_program_kiadás;Btnfőkönyv;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnHibatervTöröl;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnHibatervÚj;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnHibatervFel;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnHibatervRögzít;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnForteTípusTörlés;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnForteTípusRögzítés;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnForte;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnSAPmunkahely;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnE3TípusOK;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnE3TípusTöröl;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnTAKtípusOK;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnTAKtípusTöröl;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnTíputlétFel;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnTíputléttöröl;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnTíputlétOK;Enabled;true;2;1
Ablak_alap_program_kiadás;BtnIszolgálat;Enabled;true;3;1
Ablak_alap_program_kiadás;BtnIIszolgálat;Enabled;true;3;2
Ablak_alap_program_kiadás;BtnIIIszolgálat;Enabled;true;3;3
Ablak_alap_program_kiadás;BtnIszolgálat;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnMreggel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnMdélután;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnMeste;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnHreggel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnHdélután;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnHeste;Enabled;true;4;1
Ablak_alap_program_kiadás;Korrekció_kiadási_rögzít;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnForteVonaltöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnForteVonalOk;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnReklámméretTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnReklámméretOk;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnFőkategóriaOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnFőkategóriaTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnFőkategóriaFel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnSzolgálatOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnSzolgálatTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnSzolgálatFel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnTelephelyekOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnTelephelyekTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnTelephelyekFel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnSzolgtelepOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnSzolgtelepTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnSzolgtelepFel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnTípusAltípusOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnTípusAltípusTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnTípusAltípusFel;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnFőforteOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnFőforteTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnKapcsolatOK;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnKapcsolatTöröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnKapcsolatFel;Enabled;true;4;1
Ablak_alap_program_kiadás;Telep_Rögzít;Enabled;true;4;1
Ablak_alap_program_kiadás;Telep_Töröl;Enabled;true;4;1
Ablak_alap_program_kiadás;BtnIIszolgálat;Enabled;true;4;2
Ablak_alap_program_kiadás;BtnIIIszolgálat;Enabled;true;4;3
Ablak_alap_program_személy;BtnOktatásFel;Enabled;true;5;1
Ablak_alap_program_személy;BtnOktatásOK;Enabled;true;5;1
Ablak_alap_program_személy;BtnOktatásÚj;Enabled;true;5;1
Ablak_alap_program_személy;FrissítMunkakör;Enabled;true;5;2
Ablak_alap_program_személy;Command1;Enabled;true;5;2
Ablak_alap_program_személy;Command4;Enabled;true;5;2
Ablak_alap_program_személy;Feortörlés;Enabled;true;5;2
Ablak_alap_program_személy;Feljebb;Enabled;true;5;2
Ablak_alap_program_személy;Command5;Enabled;true;5;3
Ablak_alap_program_személy;Command3;Enabled;true;6;1
Ablak_alap_program_személy;Command9;Enabled;true;6;2
Ablak_alap_program_személy;Munka_Rögzít;Enabled;true;6;3
Ablak_alap_program_személy;Védő_rögzít;Enabled;true;8;1
Ablak_alap_program_személy;Gond_rögzít;Enabled;true;8;2
Ablak_alap_program_személy;Gond_töröl;Enabled;true;8;2
Ablak_Ciklus;Töröl;Enabled;true;7;1
Ablak_Ciklus;Rögzít;Enabled;true;7;1
Ablak_Ciklus;CsoportosMásolás;Enabled;true;7;1
Ablak_Ciklus;CiklusSorrend;Enabled;true;7;1
Ablak_technológia;Beviteli_táblakészítés;Enabled;true;16;1
Ablak_technológia;Adatok_beolvasása;Enabled;true;16;1
Ablak_technológia;Adat_Módosítás;Enabled;true;16;1
Ablak_technológia;Sor_beszúrás;Enabled;true;16;1
Ablak_technológia;Sor_törlés;Enabled;true;16;1
Ablak_technológia;CsoportosBefejezés;Enabled;true;16;1
Ablak_technológia;Típus_Rögzítés;Enabled;true;16;2
Ablak_technológia;Ciklus_rögzít;Enabled;true;16;2
Ablak_technológia;Ciklus_Törlés;Enabled;true;16;2
Ablak_technológia;Kivétel_Rögzít;Enabled;true;16;2
Ablak_technológia;Kivétel_töröl;Enabled;true;16;2
Ablak_technológia;Típusok_rögzítése;Enabled;true;16;2
Ablak_technológia;Törlés_JTípus;Enabled;true;16;2
Ablak_Váltós;Tábla_BeoKód_Új;Enabled;true;11;1
Ablak_Váltós;Tábla_BeoKód_OK;Enabled;true;11;1
Ablak_Váltós;Tábla_BeoKód_Töröl;Enabled;true;11;1
Ablak_Váltós;Tábla_Keret_Új;Enabled;true;11;2
Ablak_Váltós;Tábla_Keret_OK;Enabled;true;11;2
Ablak_Váltós;Tábla_Keret_Töröl;Enabled;true;11;2
Ablak_Váltós;Éves_Töröl;Enabled;true;11;3
Ablak_Váltós;Éves_Új;Enabled;true;11;3
Ablak_Váltós;Éves_Ok;Enabled;true;11;3
Ablak_Váltós;Éves_Generál;Enabled;true;11;3
Ablak_Váltós;Turnus_Ok;Enabled;true;12;1
Ablak_Váltós;Turnus_Töröl;Enabled;true;12;1
Ablak_Váltós;Csoport_OK;Enabled;true;12;1
Ablak_Váltós;Csoport_Töröl;Enabled;true;12;1
Ablak_Váltós;MunkaRend_OK;Enabled;true;12;1
Ablak_Váltós;MunkaRend_Töröl;Enabled;true;12;1
Ablak_Váltós;Panel4;Enabled;true;12;2
Ablak_Váltós;Nappal_Ok;Enabled;false;12;2
Ablak_Váltós;Panel5;Enabled;true;12;3
Ablak_Váltós;Command30;Enabled;false;12;3
Ablak_Váltós;Elvont_OK;Enabled;true;13;1
Ablak_Váltós;Elvont_Új;Enabled;true;13;1
Ablak_Váltós;Elvont_Töröl;Enabled;true;13;1
Ablak_Váltós;Elvont_Generált;Enabled;true;13;1
Ablak_Váltós;VáltMunka_Töröl;Enabled;true;13;2
Ablak_Váltós;VáltMunka_Feljebb;Enabled;true;13;2
Ablak_Váltós;VáltMunka_OK;Enabled;true;13;2
Ablak_Váltós;VáltMunka_Új;Enabled;true;13;2
Ablak_Váltós;CsopVez_Töröl;Enabled;true;13;3
Ablak_Váltós;CsopVez_Ok;Enabled;true;13;3
Ablak_Váltós;Éjszaka_ÚJ;Enabled;true;14;1
Ablak_Váltós;Éjszaka_Ok;Enabled;true;14;1
Ablak_Váltós;Éjszaka_Feljebb;Enabled;true;14;1
Ablak_Váltós;Éjszaka_Töröl;Enabled;true;14;1
A_Felhasználó;BtnÚjdolgozó;Visible;true;1;1
A_Felhasználó;BtnDolgozótörlés;Visible;true;1;1
A_Felhasználó;BtnÚjjelszó;Visible;true;1;1
A_Felhasználó;BtnJogosultság;Visible;true;1;1
A_Felhasználó;BtnVendég;Visible;true;1;1
A_Felhasználó;Btnalapjogosultság;Visible;true;1;1
Ablak_Utasítás;btnOlvasva;Enabled;true;202;1
Ablak_Utasítás;btnVisszavon;Enabled;true;203;2
Ablak_Utasítás_Generálás;Btnrögzítés;Visible;true;203;1
Ablak_üzenet;BtnOlvasva;Visible;true;200;1
Ablak_Üzenet_Generálás;Btnrögzítés;Visible;true;200;1
Ablak_Dolgozóialapadatok;Button4;Enabled;true;66;1
Ablak_Dolgozóialapadatok;Jogosítványmódosít;Enabled;true;66;2
Ablak_Dolgozóialapadatok;Típusrögzítés;Enabled;true;66;2
Ablak_Dolgozóialapadatok;Típustörlés;Enabled;true;66;2
Ablak_Dolgozóialapadatok;Jogterületrögzítés;Enabled;true;66;2
Ablak_Dolgozóialapadatok;Jogterülettörlés;Enabled;true;66;2
Ablak_Dolgozóialapadatok;Munkakörmódosít;Enabled;true;66;3
Ablak_Dolgozóialapadatok;BtnPDFsave;Enabled;true;66;3
Ablak_Dolgozóialapadatok;Munkakör_Töröl;Enabled;true;66;3
Ablak_Dolgozóialapadatok;Bérrögzítés;Enabled;true;67;1
Ablak_Dolgozóialapadatok;Button2;Enabled;true;67;2
Ablak_DolgozóiLekérdezések;Váltmódosítás;Visible;true;64;1
Ablak_DolgozóiLekérdezések;Újváltozat;Visible;true;64;1
Ablak_Felvétel;BtnÚj;Enabled;true;69;1
Ablak_Felvétel;Command7;Enabled;true;69;1
Ablak_Felvétel;Csoportmódosítás;Enabled;true;69;1
Ablak_Felvétel;Command2;Enabled;true;69;2
Ablak_Felvétel;Button1;Enabled;true;69;2
Ablak_Felvétel;Command4;Enabled;true;69;3
Ablak_Felvétel;BtnÚj;Visible;true;69;3
Ablak_Felvétel;Command7;Visible;true;69;3
Ablak_Felvétel;Csoportmódosítás;Visible;true;69;3
Ablak_Felvétel;Command2;Visible;true;69;3
Ablak_Felvétel;Button1;Visible;true;69;3
Ablak_Létszámgazdálkodás;Kilépő;Enabled;true;75;1
Ablak_Létszámgazdálkodás;Belépő;Enabled;true;75;1
Ablak_Létszámgazdálkodás;Status;Enabled;true;75;1
Ablak_Létszámgazdálkodás;Kilépőfull;Visible;false;75;1
Ablak_Létszámgazdálkodás;BelépőFull;Visible;false;75;1
Ablak_Létszámgazdálkodás;StatusFull;Visible;false;75;1
Ablak_Létszámgazdálkodás;Áthelyez;Enabled;true;75;1
Ablak_Létszámgazdálkodás;Kilépő;Visible;false;75;2
Ablak_Létszámgazdálkodás;Belépő;Visible;false;75;2
Ablak_Létszámgazdálkodás;Status;Visible;false;75;2
Ablak_Létszámgazdálkodás;Kilépőfull;Enabled;true;75;2
Ablak_Létszámgazdálkodás;BelépőFull;Enabled;true;75;2
Ablak_Létszámgazdálkodás;StatusFull;Enabled;true;75;2
Ablak_Létszámgazdálkodás;Kilépőfull;Visible;true;75;2
Ablak_Létszámgazdálkodás;BelépőFull;Visible;true;75;2
Ablak_Létszámgazdálkodás;StatusFull;Visible;true;75;2
Ablak_Létszámgazdálkodás;StátusMódosítás;Enabled;true;75;2
Ablak_Létszámgazdálkodás;Áthelyez;Enabled;true;75;2
Ablak_Létszámgazdálkodás;Új_Státus;Enabled;true;75;3
Ablak_Létszámgazdálkodás;Command4;Enabled;true;75;3
Ablak_Oktatások;BtnElrendelés;Enabled;true;64;1
Ablak_Oktatások;Kötelezésmód;Enabled;true;64;2
Ablak_Oktatások;TörölKötelezés;Enabled;true;64;2
Ablak_Oktatások;BtnJelenléti;Enabled;true;64;3
Ablak_Oktatások;BtnAdminMentés;Enabled;true;64;3
Ablak_Oktatások;BtnPDFsave;Enabled;true;65;1
Ablak_Oktatások;BtnNaplózásEredményTöröl;Enabled;true;65;2
Ablak_Túlóra_Figyelés;Rögzítés;Enabled;true;78;1
Ablak_Beosztás;Múlt;Visible;true;22;1
Ablak_Beosztás;Jelen;Visible;true;22;2
Ablak_Beosztás;Jövő;Visible;true;22;3
Ablak_Beosztás;Excel_gomb;Visible;true;27;1
Ablak_Beosztás;Váltós;Visible;true;27;2
Ablak_Beosztás;Előzmény;Visible;true;27;3
Ablak_Beosztás;Adatok_egyeztetése;Visible;true;28;1
Ablak_Beosztás;Gomb_nappalos;Visible;true;28;2
Ablak_Beosztás_kieg;TúlóraRögzítés;Enabled;true;23;1
Ablak_Beosztás_kieg;Túlóratörlés;Enabled;true;23;2
Ablak_Beosztás_kieg;CsúsztatásRögzítés;Enabled;true;24;1
Ablak_Beosztás_kieg;CsúsztatásTörlés;Enabled;true;24;2
Ablak_Beosztás_kieg;SzabadságRögzítés;Enabled;true;25;1
Ablak_Beosztás_kieg;MegjegyzésRögzítés;Enabled;true;25;2
Ablak_Beosztás_kieg;AftRögzítés;Enabled;true;26;1
Ablak_Beosztás_kieg;AftTörlés;Enabled;true;26;2
Ablak_Karbantartás_Csoport;Csoport_rögzít;Enabled;true;170;1
Ablak_Karbantartás_Csoport;Csoport_Töröl;Enabled;true;170;1
Ablak_Munkalap_admin;RendelésRögzít;Enabled;true;80;1
Ablak_Munkalap_admin;ÚjRögzítés;Enabled;true;80;1
Ablak_Munkalap_admin;MunkafolyamatTörlés;Enabled;true;80;1
Ablak_Munkalap_admin;Visszavon;Enabled;true;80;1
Ablak_Munkalap_admin;Cseregomb;Enabled;true;80;2
Ablak_Munkalap_admin;Karbantartás;Enabled;true;80;3
Ablak_Munkalap_admin;Button1;Enabled;true;81;1
Ablak_Munkalap_admin;Button2;Enabled;true;81;1
Ablak_Munkalap_admin;Button3;Enabled;true;81;1
Ablak_Munkalap_admin;Button4;Enabled;true;81;1
Ablak_Munkalap_admin;FejlécRögzít;Enabled;true;82;1
Ablak_munkalap_dekádoló;Rögzítés;Enabled;true;86;1
Ablak_munkalap_dekádoló;Button2;Enabled;true;86;2
Ablak_munkalap_dekádoló;Command14;Enabled;true;86;3
Ablak_munkalap_dekádoló;Command4;Enabled;true;87;1
Ablak_munkalap_dekádoló;Változattörlés;Enabled;true;87;2
Ablak_munkalap_dekádoló;Feljebb;Enabled;true;87;3
Ablak_munkalap_dekádoló;Command2;Enabled;true;88;1
Ablak_munkalap_dekádoló;Command;Enabled;true;88;2
Ablak_munkalap_dekádoló;Command3;Enabled;true;88;3
Ablak_Szatube;SzabNyomtatás;Visible;true;61;1
Ablak_Szatube;SzabLeadás;Visible;true;61;1
Ablak_Szatube;Éves_Összesítő;Visible;true;61;2
Ablak_Szatube;Szab_Rögzít;Visible;true;61;2
Ablak_Szatube;SzabNyilat;Visible;true;61;3
Ablak_Szatube;Túl_Eng_Beáll;Visible;true;62;1
Ablak_Szatube;EgyéniTúlNyom;Visible;true;62;2
Ablak_Szatube;TúlCsopNyom;Visible;true;62;2
Ablak_Szatube;CmbTelephely;Visible;true;63;1
Ablak_Akkumulátor;Btnakurögzít;Enabled;true;190;1
Ablak_Akkumulátor;btnrögzítés;Enabled;true;190;2
Ablak_Akkumulátor;CmbTelephely;Enabled;true;190;3
Ablak_Akkumulátor;Beépít;Enabled;true;191;1
Ablak_Akkumulátor;Kiépít;Enabled;true;191;1
Ablak_Akkumulátor;SelejtElő;Enabled;true;191;1
Ablak_Akkumulátor;Törölt;Enabled;true;191;1
Ablak_Akkumulátor;Leselejtezett;Enabled;true;191;1
Ablak_Akkumulátor;Használt;Enabled;true;191;1
Ablak_Akkumulátor;TelephelyEllenőr;Enabled;true;191;2
Ablak_reklám;Rögzít;Enabled;true;89;1
Ablak_reklám;Utasítás;Enabled;true;89;1
Ablak_reklám;Törlés;Enabled;true;89;2
Ablak_reklám;Command3;Enabled;true;89;3
Ablak_SAP_osztály;SAP_Betölt;Visible;true;189;1
Ablak_Eszterga_Adatok_Baross;Beolvassa;Enabled;true;168;1
